Belgium vs Egypt,P,,,,,,,,,
L. Trossard,36,,,,,,,,,
K. De Bruyne,37,,,,,,,,,
B. Mechele,59,,,,,,,,,
T. Meunier,42,,,,,,,,,
A. Onana,36,,,,,,,,,
T. Castagne,25,,,,,,,,,
Y. Tielemans,43,,,,,,,,,
J. Doku,25,,,,,,,,,
N. Ngoy,70,,,,,,,,,
T. Courtois,11,,,,,,,,,
C. De Ketelaere,25,,,,,,,,,
N. Raskin,21,,,,,,,,,
M. De Cuyper,10,,,,,,,,,
R. Lukaku,6,,,,,,,,,
M. Fernandez-Pardo,3,,,,,,,,,
H. Vanaken,4,,,,,,,,,
Ahmed Fatouh,38,,,,,,,,,
Emam Ashour,28,,,,,,,,,
Hamdi Fathy,39,,,,,,,,,
Yasser Ibrahim,53,,,,,,,,,
Marwan Attia,50,,,,,,,,,
Mohamed Hany,32,,,,,,,,,
Mohanad Lasheen,30,,,,,,,,,
Mostafa Zico,21,,,,,,,,,
Mostafa Shobeir,30,,,,,,,,,
Mohamed Salah,18,,,,,,,,,
Omar Marmoush,13,,,,,,,,,
Ramy Rabia,21,,,,,,,,,
Zizo,7,,,,,,,,,
Hamza Abdelkarim,5,,,,,,,,,
Karim Hafez,7,,,,,,,,,
Ibrahim Adel,5,,,,,,,,,
Total,850,,,,,,,,,
,,,,,,,,,,
Spain vs Cabo Verde,,,,,,,,,,
,P,,,,,,,,,
Unai Simón,17,,,,,,,,,
Pau Cubarsí,109,,,,,,,,,
Rodri,126,,,,,,,,,
Marc Cucurella,67,,,,,,,,,
Aymeric Laporte,110,,,,,,,,,
Pedri,99,,,,,,,,,
Marcos Llorente,82,,,,,,,,,
Fabián Ruiz,75,,,,,,,,,
Ferran Torres,34,,,,,,,,,
Gavi,30,,,,,,,,,
Mikel Oyarzabal,10,,,,,,,,,
Lamine Yamal,19,,,,,,,,,
Mikel Merino,10,,,,,,,,,
Dani Olmo,10,,,,,,,,,
Nico Williams,2,,,,,,,,,
Dailon Livramento,4,,,,,,,,,
Kevin Pina,20,,,,,,,,,
Pico Lopes,41,,,,,,,,,
Ryan Mendes,18,,,,,,,,,
Vozinha,42,,,,,,,,,
Diney Borges,40,,,,,,,,,
Sidny Cabral,17,,,,,,,,,
Jamiro Monteiro,21,,,,,,,,,
Steven Moreira,27,,,,,,,,,
Jovane Cabral,13,,,,,,,,,
Laros Duarte,7,,,,,,,,,
Willy Semedo,9,,,,,,,,,
Nuno da Costa,6,,,,,,,,,
Deroy Duarte,8,,,,,,,,,
João Paulo,3,,,,,,,,,
Telmo Arcanjo,2,,,,,,,,,
Total,1078,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Tunisia vs Sweden,,,,,,,,,,
,P,,,,,,,,,
G. Gudmundsson,23,,,,,,,,,
Y. Ayari,27,,,,,,,,,
J. Karlström,21,,,,,,,,,
A. Isak,17,,,,,,,,,
I. Hien,54,,,,,,,,,
V. Lindelöf,57,,,,,,,,,
K. Nordfeldt,28,,,,,,,,,
G. Lagerbielke,53,,,,,,,,,
V. Gyökeres,20,,,,,,,,,
A. Bernhardsson,21,,,,,,,,,
B. Nygren,16,,,,,,,,,
L. Bergvall,6,,,,,,,,,
E. Stroud,8,,,,,,,,,
M. Svanberg,2,,,,,,,,,
D. Svensson,3,,,,,,,,,
Anthony David Junior Elanga,0,,,,,,,,,
G. Nilsson,0,,,,,,,,,
A. Ben Slimane,33,,,,,,,,,
O. Rekik,48,,,,,,,,,
E. Skhiri,37,,,,,,,,,
E. Saad,20,,,,,,,,,
Y. Valery,18,,,,,,,,,
R. Khedira,15,,,,,,,,,
A. Chamakh,19,,,,,,,,,
M. Talbi,38,,,,,,,,,
H. Mejbri,54,,,,,,,,,
A. Abdi,21,,,,,,,,,
M. Ben Hmida,50,,,,,,,,,
S. Tounekti,4,,,,,,,,,
