date,team,player,min,pts,fgm,fga,tpm,tpa,ftm,fta,oreb,reb,ast,stl,blk,tov,pf,applied
2026-07-03,Miami Heat,Vladislav Goldin,30,14,4,6,1,2,3,4,2,7,3,1,2,3,2,1
2026-07-03,Miami Heat,J'Vonne Hadley,24,4,1,4,0,1,1,1,1,6,2,3,0,1,1,1
2026-07-03,Miami Heat,Myron Gardner,7,2,1,3,0,2,0,0,1,4,2,0,0,1,2,1
2026-07-03,Miami Heat,Ryan Conwell,29,21,4,12,3,7,4,4,0,3,3,0,0,2,2,1
2026-07-03,Miami Heat,Jahmir Young,28,21,8,13,3,7,1,1,1,3,4,3,0,4,0,1
2026-07-03,Miami Heat,Arnas Sakenis,10,2,1,1,0,0,0,0,0,2,0,0,1,0,0,1
2026-07-03,Miami Heat,Keyshawn Hall,16,4,2,6,0,1,0,2,0,1,0,0,0,3,2,1
2026-07-03,Miami Heat,Kendall Brown,11,0,0,0,0,0,0,0,0,1,0,1,0,3,1,1
2026-07-03,Miami Heat,Trevor Keels,27,18,6,13,2,5,2,2,1,7,3,2,0,2,1,1
2026-07-03,Miami Heat,Tre Donaldson,18,2,1,3,0,1,0,0,1,4,2,0,1,3,2,1
2026-07-03,San Antonio Spurs,Tarris Reed Jr.,27,10,3,10,0,1,3,3,3,7,0,0,1,1,1,1
2026-07-03,San Antonio Spurs,Maliq Brown,22,10,4,7,2,4,0,0,0,3,0,1,1,1,1,1
2026-07-03,San Antonio Spurs,Emanuel Miller,27,4,2,7,0,0,0,0,2,5,3,2,0,2,4,1
2026-07-03,San Antonio Spurs,Ja'Kobi Gillespie,29,10,3,17,2,8,1,1,2,4,8,3,0,1,2,1
2026-07-03,San Antonio Spurs,Miles Kelly,24,16,7,13,2,5,0,0,1,4,2,1,0,2,4,1
2026-07-03,San Antonio Spurs,David Muoka,3,2,1,2,0,0,0,0,1,1,0,0,0,1,0,1
2026-07-03,San Antonio Spurs,RJ Melendez,17,6,2,5,2,3,0,1,1,2,0,0,4,1,2,1
2026-07-03,San Antonio Spurs,Hyunjung Lee,15,5,2,5,1,3,0,0,0,3,2,0,0,2,1,1
2026-07-03,San Antonio Spurs,Jayden Nunn,18,9,3,5,1,3,1,1,1,2,4,4,1,2,3,1
2026-07-03,San Antonio Spurs,RJ Davis,18,15,4,8,3,5,2,3,0,2,3,1,0,0,1,1
2026-07-03,Los Angeles Lakers,William Kyle III,12,2,1,1,0,0,0,2,2,3,0,0,0,1,0,1
2026-07-03,Los Angeles Lakers,Adou Thiero,21,9,3,10,0,1,2,5,1,4,2,2,0,0,3,1
2026-07-03,Los Angeles Lakers,Cameron Carr,24,19,7,15,5,11,0,1,1,2,1,0,1,0,1,1
2026-07-03,Los Angeles Lakers,Chris Manon,18,8,4,4,0,0,0,2,1,3,1,0,0,1,4,1
2026-07-03,Los Angeles Lakers,Jon Elmore,18,0,0,3,0,3,0,0,0,0,7,2,0,2,0,1
2026-07-03,Los Angeles Lakers,Robert McCray V,10,0,0,6,0,3,0,1,1,2,0,0,0,1,1,1
2026-07-03,Los Angeles Lakers,Anton Watson,20,9,2,3,0,1,3,3,1,3,1,0,1,0,4,1
2026-07-03,Los Angeles Lakers,Zhaire Smith,16,5,2,4,1,2,0,1,1,1,1,2,0,1,2,1
2026-07-03,Los Angeles Lakers,AK Okereke,18,6,1,4,0,1,2,2,1,3,1,1,1,0,3,1
2026-07-03,Los Angeles Lakers,Arthur Kaluma,18,12,5,12,1,6,1,2,3,6,1,0,2,2,2,1
2026-07-03,Los Angeles Lakers,Peter Suder,24,2,1,6,0,3,0,0,0,3,1,0,0,4,2,1
2026-07-03,Golden State Warriors,Yaxel Lendeborg,22,19,6,6,4,4,2,2,0,5,6,1,1,4,2,1
2026-07-03,Golden State Warriors,Malevy Leons,22,11,5,8,1,2,0,1,2,4,4,3,0,1,1,1
2026-07-03,Golden State Warriors,Graham Ike,19,11,5,7,0,1,1,1,1,4,3,0,1,0,4,1
2026-07-03,Golden State Warriors,Will Richard,21,16,6,8,4,5,0,0,1,3,3,3,0,1,1,1
2026-07-03,Golden State Warriors,LJ Cryer,19,12,4,8,3,6,1,1,0,1,5,0,0,0,2,1
2026-07-03,Golden State Warriors,Deivon Smith,21,5,2,7,0,2,1,1,0,4,2,1,0,4,2,1
2026-07-03,Golden State Warriors,Chance McMillian,18,12,4,6,2,3,1,1,0,4,3,0,0,0,1,1
2026-07-03,Golden State Warriors,Chase Hunter,10,7,2,2,1,1,2,2,0,0,0,0,0,0,2,1
2026-07-03,Golden State Warriors,Lajae Jones,19,3,1,3,1,2,0,0,0,3,2,1,0,0,3,1
2026-07-03,Golden State Warriors,Lachlan Olbrich,19,6,3,6,0,0,0,4,2,5,4,0,1,0,2,1
2026-07-03,Golden State Warriors,Jack Clark,8,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1
2026-07-04,Milwaukee Bucks,Rafael Castro,20,4,2,2,0,0,0,1,0,6,1,4,1,2,2,1
2026-07-04,Milwaukee Bucks,Bogoljub Markovic,25,16,8,12,0,3,0,1,1,6,3,1,0,3,6,1
2026-07-04,Milwaukee Bucks,Malique Lewis,20,5,2,4,0,2,1,1,2,4,1,0,1,1,0,1
2026-07-04,Milwaukee Bucks,Cormac Ryan,19,13,3,8,2,6,3,3,0,0,0,0,0,2,3,1
2026-07-04,Milwaukee Bucks,Kira Lewis Jr.,24,14,6,9,2,4,0,0,0,4,5,2,0,0,2,1
2026-07-04,Milwaukee Bucks,Luke Travers,14,4,2,7,0,1,0,0,1,7,2,0,0,1,0,1
2026-07-04,Milwaukee Bucks,Kobe Stewart,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2026-07-04,Milwaukee Bucks,John Butler,9,5,2,4,1,3,0,1,2,2,0,0,0,0,1,1
2026-07-04,Milwaukee Bucks,Brandon Boston,24,17,6,9,1,2,3,3,1,4,3,2,0,2,1,1
2026-07-04,Milwaukee Bucks,Zack Austin,14,6,2,6,0,2,1,2,1,3,2,1,2,2,0,1
2026-07-04,Milwaukee Bucks,Jesse Edwards,9,9,3,4,1,1,1,1,2,3,0,0,2,2,0,1
2026-07-04,Golden State Warriors,Jacksen Moni,18,6,2,6,2,5,0,1,1,6,0,1,1,1,1,1
2026-07-04,Golden State Warriors,David Green,15,10,4,6,2,4,0,0,0,0,0,0,1,0,0,1
2026-07-04,Golden State Warriors,Nick Boyd,23,11,2,10,1,5,3,4,0,1,3,2,0,2,4,1
2026-07-04,Golden State Warriors,Colby Jones,23,6,3,5,0,2,0,0,1,6,3,2,0,3,4,1
2026-07-04,Golden State Warriors,RJ Nembhard,22,15,4,11,1,4,3,3,1,2,3,0,0,2,1,1
2026-07-04,Golden State Warriors,Steve Settle,16,7,3,5,1,3,0,1,0,2,1,0,0,0,2,1
2026-07-04,Golden State Warriors,Reese Dixon-Waters,17,9,4,9,1,4,0,0,1,4,0,0,0,1,0,1
2026-07-04,Golden State Warriors,Andersson Garcia,17,7,1,2,1,2,2,2,2,3,1,1,0,1,2,1
2026-07-04,Golden State Warriors,Wade Taylor,17,3,1,9,1,5,0,0,1,1,2,3,1,2,2,1
2026-07-04,Golden State Warriors,Hason Ward,15,8,4,7,0,0,0,0,1,3,0,0,1,3,4,1
2026-07-04,Golden State Warriors,Cameron Tyson,18,1,0,6,0,4,1,1,0,3,2,1,0,1,1,1
2026-07-04,Brooklyn Nets,Chaney Johnson,10,10,2,5,0,0,3,3,6,10,1,0,1,3,5,1
2026-07-04,Brooklyn Nets,Tyler Bilodeau,24,9,4,6,1,3,0,1,1,6,0,0,1,0,4,1
2026-07-04,Brooklyn Nets,Egor Demin,24,23,8,15,2,8,3,4,0,7,1,0,0,2,1,1
2026-07-04,Brooklyn Nets,Ben Saraf,27,10,4,10,0,0,1,1,1,5,1,0,1,3,3,1
2026-07-04,Brooklyn Nets,Drake Powell,24,4,0,9,0,5,2,3,2,8,2,1,0,3,2,1
2026-07-04,Brooklyn Nets,Hunter Sallis,18,8,2,4,0,1,2,2,1,4,0,0,1,2,3,1
2026-07-04,Brooklyn Nets,John Ukomadu,20,2,0,3,0,1,1,1,0,3,0,0,1,3,4,1
2026-07-04,Brooklyn Nets,Ben Humrichous,12,6,2,6,2,5,0,0,1,2,1,2,1,0,1,1
2026-07-04,Brooklyn Nets,Duke Brennan,15,4,0,1,0,0,2,2,0,5,1,0,0,4,3,1
2026-07-04,Sacramento Kings,Dylan Cardwell,28,8,3,4,0,0,1,6,4,8,2,2,4,4,5,1
2026-07-04,Sacramento Kings,Jonathan Mogbo,32,6,3,5,0,0,0,1,2,7,0,2,5,1,5,1
2026-07-04,Sacramento Kings,Darius Acuff,24,25,9,29,1,9,5,7,0,2,3,1,0,1,1,1
2026-07-04,Sacramento Kings,Emanuel Sharp,32,13,3,11,2,9,2,2,0,4,1,2,1,0,4,1
2026-07-04,Sacramento Kings,Nique Clifford,29,9,4,11,1,3,0,0,1,4,3,0,0,2,4,1
2026-07-04,Sacramento Kings,Jamarion Sharp,8,5,2,2,0,0,1,1,3,3,0,0,0,0,1,1
2026-07-04,Sacramento Kings,Marquel Sutton,11,2,1,2,0,0,0,0,1,5,0,1,0,0,1,1
2026-07-04,Sacramento Kings,Adam Flagler,10,6,1,8,0,5,2,2,0,0,2,2,0,1,2,1
2026-07-04,Sacramento Kings,Mitch Mascari,8,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1
2026-07-05,Milwaukee Bucks,Kobe Stewart,27,13,4,6,3,4,2,2,2,8,2,0,0,1,0,1
2026-07-05,Miami Heat,Vladislav Goldin,25,6,3,9,0,1,0,2,3,6,0,0,4,4,9,1
2026-07-05,Miami Heat,J'Vonne Hadley,17,4,1,1,0,0,1,1,2,4,2,0,1,1,0,1
2026-07-05,Miami Heat,Ryan Conwell,31,16,6,18,2,12,1,1,1,7,3,1,0,2,3,1
2026-07-05,Miami Heat,Jahmir Young,24,14,5,13,2,6,1,2,1,5,2,1,0,3,2,1
2026-07-05,Miami Heat,Trevor Keels,30,16,5,15,1,8,3,4,0,4,3,3,0,2,2,1
2026-07-05,Miami Heat,Keyshawn Hall,14,6,2,3,0,0,1,1,2,6,1,1,0,2,2,1
2026-07-05,Miami Heat,Ezra Ausar,12,4,1,2,0,0,1,2,1,4,0,0,0,1,5,1
2026-07-05,Miami Heat,Cam Carter,6,3,1,3,1,2,0,0,0,1,1,0,0,0,3,1
2026-07-05,Miami Heat,Tre Donaldson,24,11,4,4,1,1,1,1,0,2,4,1,0,1,1,1
2026-07-05,Miami Heat,Tre White,27,11,2,4,2,4,2,2,0,6,0,1,2,2,0,1
2026-07-05,Los Angeles Lakers,Adou Thiero,28,13,3,9,0,2,4,7,0,3,2,3,0,3,2,1
2026-07-05,Los Angeles Lakers,Anton Watson,27,12,4,12,1,5,2,2,3,10,0,2,0,1,2,1
2026-07-05,Los Angeles Lakers,Cameron Carr,31,26,7,16,4,9,4,5,0,8,1,0,0,1,2,1
2026-07-05,Los Angeles Lakers,Peter Suder,19,7,2,9,1,5,1,1,2,5,0,0,0,2,1,1
2026-07-05,Los Angeles Lakers,William Hickey,20,0,0,6,0,1,0,0,1,3,7,2,1,2,2,1
2026-07-05,Los Angeles Lakers,Robert McCray V,11,3,1,5,1,3,0,0,0,0,1,0,1,0,0,1
2026-07-05,Los Angeles Lakers,Luke Goode,18,3,1,3,1,2,0,0,1,1,2,0,0,0,4,1
2026-07-05,Los Angeles Lakers,AK Okereke,18,7,2,2,1,1,1,1,1,2,0,0,1,0,3,1
2026-07-05,Los Angeles Lakers,Chris Manon,20,12,4,5,0,0,3,3,0,3,3,2,0,1,1,1
2026-07-05,Los Angeles Lakers,Zhaire Smith,18,10,3,6,1,2,2,3,0,2,1,0,1,0,5,1
2026-07-05,Golden State Warriors,Jacksen Moni,23,18,4,8,0,3,6,8,1,3,0,0,0,1,4,1
2026-07-05,Golden State Warriors,Reese Dixon-Waters,20,6,2,7,2,5,0,1,1,4,0,1,2,2,1,1
2026-07-05,Golden State Warriors,Colby Jones,9,6,1,2,0,0,2,3,0,1,0,1,0,0,1,1
2026-07-05,Golden State Warriors,Cameron Tyson,21,9,3,10,3,8,0,0,1,3,1,0,0,0,4,1
2026-07-05,Golden State Warriors,David Green,26,6,2,6,2,4,0,1,1,4,0,0,0,0,1,1
2026-07-05,Golden State Warriors,Wade Taylor,10,4,2,7,0,1,0,0,1,2,1,0,0,2,3,1
2026-07-05,Golden State Warriors,RJ Nembhard,28,17,5,11,0,3,4,4,0,3,2,1,0,4,4,1
2026-07-05,Golden State Warriors,Steve Settle,12,0,0,1,0,1,0,0,1,4,0,1,1,0,3,1
2026-07-05,Golden State Warriors,Andersson Garcia,14,2,1,5,0,1,0,0,1,5,1,1,0,2,3,1
2026-07-05,Golden State Warriors,Hason Ward,9,6,2,4,0,0,1,1,0,2,0,0,1,0,0,1
2026-07-05,Sacramento Kings,Viktor Lakhin,23,12,5,7,0,1,1,1,0,6,1,2,4,0,5,1
2026-07-04,Milwaukee Bucks,Boopie Miller,16,4,2,6,0,0,0,1,1,4,3,2,1,2,2,1
2026-07-05,Brooklyn Nets,Dain Dainja,17,10,5,8,0,0,0,1,1,7,2,0,1,1,2,1
2026-07-05,Golden State Warriors,Nick Boyd,27,11,4,7,0,2,2,2,4,7,10,1,0,3,4,1
2026-07-04,Memphis Grizzlies,Cedric Coward,25,11,3,12,3,8,1,2,1,8,0,1,2,4,3,1
2026-07-04,Memphis Grizzlies,Taylor Hendricks,12,15,5,6,2,3,2,3,0,4,3,1,0,1,0,1
2026-07-04,Memphis Grizzlies,Olivier-Maxence Prosper,23,17,5,8,2,3,2,2,0,5,3,0,0,2,2,1
2026-07-04,Memphis Grizzlies,Javon Small,21,11,4,6,3,3,0,0,0,2,9,2,0,3,3,1
2026-07-04,Memphis Grizzlies,Carson Cooper,19,11,5,6,1,1,0,0,3,5,3,0,1,0,2,1
2026-07-04,Memphis Grizzlies,Jestin Porter,2,5,2,2,0,0,1,1,0,0,1,0,0,0,0,1
2026-07-04,Memphis Grizzlies,Brendan Hausen,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1
2026-07-04,Memphis Grizzlies,Jahmai Mashack,22,12,4,6,1,2,2,3,0,2,4,1,2,2,1,1
2026-07-04,Memphis Grizzlies,Lawson Lovering,16,0,0,2,0,1,0,0,4,6,3,0,1,1,1,1
2026-07-04,Memphis Grizzlies,Jevon Porter,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2026-07-04,Memphis Grizzlies,Tyler Burton,17,9,3,9,3,7,0,2,2,6,1,0,0,3,0,1
2026-07-04,Memphis Grizzlies,Zach Cleveland,14,2,1,1,0,0,0,0,0,3,2,0,0,0,1,1
2026-07-04,Oklahoma City Thunder,Aday Mara,22,10,5,8,0,1,0,1,0,3,4,1,2,3,1,1
2026-07-04,Oklahoma City Thunder,Josh Dix,20,5,2,6,1,4,0,0,1,2,1,1,0,2,3,1
2026-07-04,Oklahoma City Thunder,Bennett Stirtz,24,10,3,6,2,3,1,1,0,3,4,3,0,2,2,1
2026-07-04,Oklahoma City Thunder,Otega Oweh,25,8,3,7,0,2,1,1,2,4,2,2,1,3,4,1
2026-07-04,Oklahoma City Thunder,Brooks Barnhizer,20,13,6,12,1,4,0,1,2,6,1,0,0,1,1,1
2026-07-04,Oklahoma City Thunder,Christoph Tilly,20,7,3,6,0,0,1,2,0,3,1,1,1,0,1,1
2026-07-04,Oklahoma City Thunder,Nate Johnson,15,0,0,5,0,2,0,0,0,0,2,1,0,0,2,1
2026-07-04,Oklahoma City Thunder,Anthony Pritchard,10,4,1,3,0,1,2,2,0,0,1,1,0,1,1,1
2026-07-04,Oklahoma City Thunder,Lamar Wilkerson,6,2,1,2,0,1,0,0,1,1,2,0,0,0,1,1
