date,team_a,team_b,pts_a,pts_b
2026-07-03,Miami Heat,San Antonio Spurs,88,87
2026-07-03,Los Angeles Lakers,Golden State Warriors,72,104
2026-07-04,Milwaukee Bucks,Golden State Warriors,97,83
2026-07-04,Brooklyn Nets,Sacramento Kings,76,79
2026-07-05,Brooklyn Nets,Milwaukee Bucks,89,69
2026-07-05,Miami Heat,Los Angeles Lakers,87,87
2026-07-05,Golden State Warriors,Sacramento Kings,85,91
2026-07-04,Memphis Grizzlies,Oklahoma City Thunder,111,74
2026-07-04,Atlanta Hawks,Utah Jazz,95,95
2026-07-09,Minnesota Timberwolves,New Orleans Pelicans,105,92
2026-07-09,San Antonio Spurs,Atlanta Hawks,66,93
2026-07-09,Detroit Pistons,Philadelphia 76ers,93,101
2026-07-09,Golden State Warriors,Dallas Mavericks,101,90
2026-07-09,Charlotte Hornets,Orlando Magic,86,74
2026-07-09,Utah Jazz,Washington Wizards,88,92
2026-07-09,Sacramento Kings,LA Clippers,91,85
2026-07-10,Milwaukee Bucks,Miami Heat,86,119
2026-07-10,Cleveland Cavaliers,Indiana Pacers,93,99
2026-07-10,Brooklyn Nets,New York Knicks,91,65
2026-07-10,Houston Rockets,Denver Nuggets,97,86
2026-07-10,Chicago Bulls,Memphis Grizzlies,96,97
2026-07-10,Boston Celtics,Toronto Raptors,77,77
2026-07-10,Oklahoma City Thunder,Los Angeles Lakers,84,96
2026-07-10,Portland Trail Blazers,Phoenix Suns,79,81
2026-07-11,Miami Heat,Orlando Magic,88,93
2026-07-11,New Orleans Pelicans,Charlotte Hornets,95,91
2026-07-11,Indiana Pacers,Philadelphia 76ers,93,93
2026-07-11,New York Knicks,San Antonio Spurs,49,70
2026-07-11,Denver Nuggets,Minnesota Timberwolves,101,82
2026-07-11,Atlanta Hawks,Brooklyn Nets,83,76
2026-07-11,Houston Rockets,Toronto Raptors,89,102
2026-07-11,Los Angeles Lakers,Dallas Mavericks,91,70
2026-07-12,Phoenix Suns,New Orleans Pelicans,75,81
2026-07-12,Cleveland Cavaliers,Detroit Pistons,94,103
2026-07-12,Charlotte Hornets,Boston Celtics,75,87
2026-07-12,Oklahoma City Thunder,Golden State Warriors,79,104
2026-07-12,Orlando Magic,Portland Trail Blazers,101,101
2026-07-12,Sacramento Kings,Washington Wizards,85,104
