player,mp,bpm
Kevin Durant,2840,4.5
Desmond Bane,2756,1.4
Toumani Camara,2731,-1.0
Jabari Smith Jr.,2705,-0.7
Mikal Bridges,2692,2.7
Scottie Barnes,2681,4.2
Tyrese Maxey,2661,5.4
Jamal Murray,2652,4.1
Derrick White,2625,3.2
VJ Edgecombe,2623,-0.5
Julius Randle,2610,1.5
Brandon Ingram,2604,0.5
Nickeil Alexander-Walker,2603,1.2
Jalen Brunson,2590,3.1
Payton Pritchard,2556,2.3
Kon Knueppel,2551,2.8
Jalen Johnson,2532,4.2
Dyson Daniels,2520,1.3
Paolo Banchero,2502,1.4
Donte DiVincenzo,2494,0.8
Jaylen Brown,2443,3.3
James Harden,2438,3.9
DeMar DeRozan,2406,-0.1
Alperen Şengün,2398,4.2
Miles Bridges,2387,1.1
Rudy Gobert,2380,1.0
Ryan Rollins,2376,0.2
Bam Adebayo,2365,2.0
Cooper Flagg,2344,1.4
Donovan Mitchell,2342,5.1
Trey Murphy III,2341,2.4
Brandin Podziemski,2333,0.2
Karl-Anthony Towns,2322,3.3
Jaden McDaniels,2316,-0.3
Onyeka Okongwu,2297,0.7
Luka Dončić,2289,9.3
Wendell Carter Jr.,2288,-0.6
Collin Gillespie,2282,2.5
Bub Carrington,2271,-4.7
A.J. Green,2270,-3.3
Julian Champagnie,2266,1.4
CJ McCollum,2264,-0.3
Shai Gilgeous-Alexander,2259,11.7
Matas Buzelis,2248,-1.0
Saddiq Bey,2246,0.5
Max Christie,2244,-1.5
De'Aaron Fox,2231,2.2
Immanuel Quickley,2231,2.4
Kris Dunn,2230,-0.8
OG Anunoby,2224,2.0
Royce O'Neale,2213,0.7
Quentin Grimes,2206,-1.6
Deni Avdija,2199,4.3
Naji Marshall,2184,-0.6
Cade Cunningham,2172,6.3
Reed Sheppard,2147,2.7
Devin Booker,2146,2.2
Anthony Edwards,2137,4.5
Tim Hardaway Jr.,2127,-0.7
Jaime Jaquez Jr.,2121,0.1
Duncan Robinson,2113,0.8
Jeremiah Fears,2112,-2.7
Donovan Clingan,2094,3.0
Kawhi Leonard,2085,8.0
Evan Mobley,2074,3.0
Andrew Wiggins,2063,1.2
Jake LaRavia,2061,-1.2
Pascal Siakam,2057,0.7
Cason Wallace,2046,1.2
Devin Vassell,2044,0.5
Stephon Castle,2038,1.9
Derik Queen,2023,-0.8
LaMelo Ball,2017,4.7
Naz Reid,2007,0.9
Davion Mitchell,2000,-0.9
Bruce Brown,1998,-2.4
Chet Holmgren,1997,4.2
Josh Hart,1994,3.0
LeBron James,1989,3.5
Ace Bailey,1988,-4.4
Harrison Barnes,1986,-0.1
Jalen Duren,1976,5.0
Brandon Miller,1968,1.6
