team,player,pos,tier,age,draft_pick,nba_gp,nba_mpg,adj,out
Team Alpha,Rookie One,G,lottery_rookie,19,3,,,,
Team Alpha,Returner One,F,nba_rotation,21,18,64,19.5,,
Team Alpha,Twoway One,G,two_way,23,,25,11.0,,
Team Alpha,Rookie Two,C,second_round_rookie,22,41,,,,
Team Alpha,Vet One,F,gleague_vet,26,,,,,
Team Alpha,Vet Two,G,gleague_vet,25,,,,,
Team Alpha,Stash One,F,international,22,,,,,
Team Alpha,Camp One,C,camp,23,,,,,
Team Alpha,Camp Two,G,camp,22,,,,,
Team Alpha,Camp Three,F,camp,24,,,,,
Team Bravo,Rookie Three,F,lottery_rookie,19,9,,,,
Team Bravo,Rookie Four,G,first_round_rookie,20,22,,,,
Team Bravo,Twoway Two,F,two_way,24,,8,6.0,,
Team Bravo,Undrafted One,G,undrafted_rookie,22,,,,0.5,
Team Bravo,Vet Three,C,gleague_vet,27,,,,,
Team Bravo,Camp Four,G,camp,23,,,,,
Team Bravo,Camp Five,F,camp,22,,,,,
Team Bravo,Camp Six,C,camp,25,,,,,
Team Charlie,Returner Two,G,nba_fringe,22,35,40,12.0,,
Team Charlie,Returner Three,F,nba_rotation,22,7,70,24.0,,1
Team Charlie,Rookie Five,C,second_round_rookie,21,48,,,,
Team Charlie,Twoway Three,G,two_way,25,,30,14.0,,
Team Charlie,Vet Four,F,gleague_vet,28,,,,,
Team Charlie,Undrafted Two,F,undrafted_rookie,23,,,,,
Team Charlie,Camp Seven,G,camp,22,,,,,
Team Charlie,Camp Eight,C,camp,24,,,,,
Team Charlie,Camp Nine,F,camp,23,,,,,
