rank,team,rating,strength,top_players
1,Memphis Grizzlies,+5.64,7.35,Cedric Coward (8.7); Javon Small (8.5); Cam Boozer (8.4)
2,Charlotte Hornets,+4.74,7.07,Ryan Kalkbrenner (9.4); Tidjane Salaun (8.5); Liam McNeeley (8.0)
3,Milwaukee Bucks,+2.77,6.46,Kasparas Jakucionis (8.8); Pete Nance (6.7); Brayden Burries (6.5)
4,Sacramento Kings,+2.67,6.43,Jonathan Mogbo (7.7); Maxime Raynaud (7.6); Dylan Cardwell (6.7)
5,Brooklyn Nets,+2.42,6.35,Egor Demin (8.5); Danny Wolf (8.1); Joshua Jefferson (6.0)
6,Warriors Gold,+2.38,6.34,Will Richard (8.6); Yaxel Lendeborg (7.8); LJ Cryer (6.4)
7,Orlando Magic,+2.37,6.33,Jase Richardson (7.9); Noah Penda (7.9); Cam Reddish (6.5)
8,Utah Jazz,+1.15,5.95,Ace Bailey (7.3); Darryn Peterson (7.1); Cody Williams (6.9)
9,Washington Wizards,+1.00,5.91,AJ Dybantsa (7.2); Tre Johnson (7.1); Will Riley (6.9)
10,Toronto Raptors,+0.80,5.84,Collin Murray-Boyles (9.1); Allen Graves (7.1); Alijah Martin (5.7)
11,LA Clippers,+0.66,5.80,Yanic Konan Niederhauser (7.4); Keaton Wagler (7.3); Kobe Sanders (7.1)
12,Dallas Mavericks,+0.65,5.80,Morez Johnson Jr. (6.9); Ryan Nembhard (6.9); John Poulakidas (6.2)
13,San Antonio Spurs,+0.57,5.77,Carter Bryant (8.2); Maliq Brown (6.3); Tarris Reed Jr. (6.0)
14,Chicago Bulls,+0.54,5.76,Caleb Wilson (7.6); Noa Essengue (7.5); Kam Jones (6.5)
15,Atlanta Hawks,+0.46,5.74,Asa Newell (7.6); Kingston Flemings (6.8); Zuby Ejiofor (6.8)
16,New Orleans Pelicans,+0.01,5.59,Derik Queen (8.5); Jeremiah Fears (7.9); Micah Peavy (6.7)
17,Cleveland Cavaliers,-0.00,5.59,Tyrese Proctor (7.1); Malaki Branham (7.1); Nae'Qwan Tomlin (7.0)
18,Boston Celtics,-0.69,5.38,Hugo Gonzalez (7.9); Amari Williams (5.8); Dillon Mitchell (5.5)
19,Los Angeles Lakers,-0.73,5.36,Adou Thiero (6.7); Chris Manon (6.7); Cameron Carr (5.8)
20,New York Knicks,-0.85,5.33,Pacome Dadiet (7.7); Mohamed Diawara (7.1); Dillon Jones (5.5)
21,Phoenix Suns,-1.03,5.27,Khaman Maluach (8.0); Rasheer Fleming (7.1); Koa Peat (5.6)
22,Oklahoma City Thunder,-1.33,5.18,Aday Mara (7.3); Brooks Barnhizer (6.2); Bennett Stirtz (5.5)
23,Indiana Pacers,-1.59,5.10,Taelon Peter (6.1); Jalen Slawson (5.8); Braden Smith (5.7)
24,Detroit Pistons,-1.95,4.98,Chaz Lanier (6.9); Ugonna Onyenso (6.2); Ebuka Okorie (5.7)
25,Miami Heat,-2.44,4.83,Myron Gardner (6.9); Ryan Conwell (4.6); Tre Donaldson (4.6)
26,Houston Rockets,-2.62,4.77,Bruce Thornton (5.8); Daishen Nix (5.5); Oscar Cluff (5.4)
27,Denver Nuggets,-2.88,4.69,Trevon Brazile (5.3); KJ Simpson (5.2); Jahmi'us Ramsey (4.6)
28,Warriors Blue,-2.89,4.69,Colby Jones (5.7); Nick Boyd (4.8); RJ Nembhard (4.7)
29,Minnesota Timberwolves,-3.09,4.63,Joan Beringer (7.6); Rocco Zikarsky (5.5); Isaiah Evans (5.1)
30,Portland Trail Blazers,-3.20,4.59,Yang Hansen (7.1); Chris Youngblood (4.7); Andrew Carr (4.6)
31,Philadelphia 76ers,-3.54,4.49,Johni Broome (7.1); Labaron Philon (5.8); Duke Miles (4.2)
