team,player,pos,tier,age,draft_pick,nba_gp,nba_mpg,adj,out,value
Atlanta Hawks,Kingston Flemings,G,lottery_rookie,,8,,,,,6.8
Atlanta Hawks,Asa Newell,F,nba_fringe,,23,,,,,7.6
Atlanta Hawks,Zuby Ejiofor,C,first_round_rookie,,23,,,,,6.8
Atlanta Hawks,Henri Veesaar,C,second_round_rookie,,52,,,,,5.3
Atlanta Hawks,Jacob Toppin,F,gleague_vet,,,25,8,,,
Atlanta Hawks,Keshon Gilbert,G,gleague_vet,,,,,,,3.9
Atlanta Hawks,Kobe Johnson,G,gleague_vet,,,,,,,5.0
Atlanta Hawks,RayJ Dennis,G,gleague_vet,,,,,,,4.4
Atlanta Hawks,Zeke Mayo,G,gleague_vet,,,,,,,4.0
Atlanta Hawks,Isaiah Wong,G,gleague_vet,,,,,,,
Atlanta Hawks,Eli Ndiaye,F,international,,,,,,,
Atlanta Hawks,Isaac McKneely,G,undrafted_rookie,,,,,,,3.8
Atlanta Hawks,Kobe Knox,G,undrafted_rookie,,,,,,,3.3
Atlanta Hawks,Devon Higgs,G,undrafted_rookie,,,,,,,
Atlanta Hawks,Cameron Corhen,C,undrafted_rookie,,,,,,,3.4
Atlanta Hawks,Gabe Madsen,G,undrafted_rookie,,,,,,,2.8
Atlanta Hawks,Nick Pringle,C,gleague_vet,,,,,,,3.5
Atlanta Hawks,Day Day Thomas,G,undrafted_rookie,,,,,,,3.8
Boston Celtics,Hugo Gonzalez,F,nba_fringe,,28,,,,,7.9
Boston Celtics,Chris Cenac Jr.,C,first_round_rookie,,27,,,,,5.3
Boston Celtics,Dillon Mitchell,F,second_round_rookie,,40,,,,,5.5
Boston Celtics,Amari Williams,C,two_way,,46,,,,,5.8
Boston Celtics,Max Shulga,G,two_way,,57,,,,,5.4
Boston Celtics,John Tonje,G,gleague_vet,,,20,10,,,4.7
Boston Celtics,Kyle Mangas,G,gleague_vet,,,,,,,
Boston Celtics,Tucker DeVries,F,gleague_vet,,,,,,,4.6
Boston Celtics,Milos Uzan,G,undrafted_rookie,,,,,,,3.8
Boston Celtics,Chauncey Wiggins,F,undrafted_rookie,,,,,,,3.3
Brooklyn Nets,Egor Demin,G,nba_rotation,,8,,,,,8.3
Brooklyn Nets,Mikel Brown Jr.,G,lottery_rookie,,6,,,,,5.8
Brooklyn Nets,Ben Saraf,G,nba_fringe,,26,,,,,6.0
Brooklyn Nets,Danny Wolf,C,nba_fringe,,27,,,0.5,,7.6
Brooklyn Nets,Drake Powell,F,nba_fringe,,22,,,,,6.4
Brooklyn Nets,Joshua Jefferson,F,first_round_rookie,,28,,,,,6.0
Brooklyn Nets,Tyler Bilodeau,F,second_round_rookie,,43,,,,,4.6
Brooklyn Nets,Grant Nelson,F,gleague_vet,,,,,,,4.5
Brooklyn Nets,Hunter Sallis,G,gleague_vet,,,,,,,3.8
Brooklyn Nets,Dwight Murray Jr.,G,gleague_vet,,,,,,,
Brooklyn Nets,Chaney Johnson,F,undrafted_rookie,,,,,,,4.9
Brooklyn Nets,Duke Brennan,C,undrafted_rookie,,,,,,,4.3
Brooklyn Nets,Dion Brown,G,undrafted_rookie,,,,,,,3.6
